embalaje,largo,ancho,alto,peso,procedencia,temperatura,manipulacion,protocolo
A,42.76553784916357,31.344448854698957,42.62127565681263,28.192207389593115,C,ambiente,normal,protocolo_2
A,26.987422333347272,32.801797541112265,54.71478072804707,24.044418227814013,A,ambiente,normal,protocolo_2
B,61.33478152026131,44.62536397095881,62.64839518436404,26.871413877212817,A,ambiente,normal,protocolo_2
B,80.5510995973134,41.56620406971666,46.73051208968245,15.896556664664498,B,ambiente,normal,protocolo_2
B,48.083702100395854,67.40359662602205,51.748621652586216,15.807828549286745,B,ambiente,normal,protocolo_2
B,31.214465575270165,57.06398485615931,23.364101851056077,27.16185591821062,A,ambiente,normal,protocolo_2
A,33.92991740254334,34.06154055965517,52.00491376931422,27.113201166267757,B,refrigerado,fragil,protocolo_1
B,32.15646269601578,50.825744645687266,68.96236589612906,24.455128604692238,B,ambiente,normal,protocolo_2
B,53.06207598130586,70.64866725906046,50.731397565650276,23.863923578979655,D,ambiente,normal,protocolo_2
C,53.41507770157254,58.403315145289554,52.12828365391302,31.948390857581998,D,ambiente,normal,protocolo_2
A,25.31699653363175,42.372939380736604,48.462080660651395,24.710881746518474,C,ambiente,normal,protocolo_2
B,52.5456841198205,73.14293959825068,33.05567891637176,22.46224503453982,A,ambiente,normal,protocolo_2
B,72.76031427174354,65.55098199923233,69.61880567221894,29.67863318274955,C,ambiente,normal,protocolo_2
A,40.08546481872159,26.991233871399935,37.4062920979528,20.368506240685093,A,ambiente,normal,protocolo_2
B,65.48754078362738,48.37258948745108,50.05031311117453,29.897587929246114,B,ambiente,normal,protocolo_2
B,28.91205411858858,23.26298253612421,65.4088585673987,35.553719344187,C,ambiente,normal,protocolo_2
A,75.83480502510828,62.65138059929776,52.88027389837771,18.831276776369954,A,ambiente,normal,protocolo_2
C,47.82724013770645,59.73798009560426,45.79967214035632,25.832033819107842,B,ambiente,normal,protocolo_2
A,83.31275416550395,64.88729341587448,59.84387308738982,27.310214290643593,A,ambiente,normal,protocolo_2
B,50.84278518287496,71.57551325326726,45.634188959749906,26.857803697738206,D,ambiente,normal,protocolo_2
A,61.64632071410229,62.81847451651251,27.50380964312699,18.796174572375023,B,ambiente,normal,protocolo_2
B,59.12478257943451,45.64072881498368,30.35920148075949,23.345030072983413,A,ambiente,normal,protocolo_2
A,93.47358753764134,42.00607552031145,51.634233997438244,14.307189037969938,A,ambiente,normal,protocolo_2
B,24.624136119690334,45.00568476288409,61.336684840490285,23.2417780646894,A,ambiente,normal,protocolo_2
C,69.47100903431635,31.87522134807831,36.71042084355291,23.14766254878312,A,ambiente,normal,protocolo_2
C,55.5637484998045,21.115957884178723,85.43685789540524,24.870109513859592,C,refrigerado,fragil,protocolo_1
B,59.71773680727134,46.71561612942859,76.01127952362987,29.067804834702276,C,ambiente,normal,protocolo_2
A,28.399855312930498,42.499897059586814,43.13386633680151,24.160554456902876,D,ambiente,normal,protocolo_2
C,59.71730127426923,77.52212913471386,34.82632957745429,31.844719290117062,D,ambiente,fragil,protocolo_1
A,45.83900340508236,62.75979685297091,43.80129028420827,22.428388689746328,A,ambiente,normal,protocolo_2
A,39.58970305374761,55.133844596943966,28.79982812477108,26.963878270423685,A,ambiente,fragil,protocolo_1
A,7.305707702301838,49.73520460218328,37.313194108226796,17.336860782598066,C,ambiente,fragil,protocolo_1
B,42.57296080044567,62.494704748802334,38.671935132930656,20.034832858727533,B,ambiente,normal,protocolo_2
C,29.007462746858913,46.1314192970767,49.67869427365347,25.52709676147541,A,ambiente,fragil,protocolo_1
A,44.966492273654616,53.679841930340615,39.30369168863986,14.352001722966069,C,ambiente,fragil,protocolo_1
C,57.64842045403297,45.00758852584595,31.74701708773521,24.64176286169299,C,ambiente,normal,protocolo_2
C,43.90479666947872,47.162890117137714,46.85352235991836,19.39396316416035,B,refrigerado,fragil,protocolo_1
B,39.81024913646644,39.61905841553795,40.74891262704674,22.486419774338863,D,ambiente,normal,protocolo_2
B,80.79009589307606,19.982426431927305,31.61291867791997,23.348421957529254,B,ambiente,normal,protocolo_2
B,47.289381393580875,46.34556088005759,45.27242651554691,27.577937081863837,C,ambiente,normal,protocolo_2
C,61.791854393353894,31.907711041951124,25.305576618231637,24.822716269554295,C,ambiente,normal,protocolo_2
C,54.28092398191991,47.49563418656713,75.54717422014468,27.15631179542097,A,refrigerado,fragil,protocolo_1
B,48.841859684672364,51.34216029920992,64.92418463240787,25.775529589917177,B,ambiente,normal,protocolo_2
C,73.74119806290318,55.029155057994465,65.13524745954155,17.67909727322282,A,ambiente,normal,protocolo_2
B,57.14606800593188,21.355790294055332,96.54164690248274,25.88819829765341,B,refrigerado,fragil,protocolo_1
B,38.34629764840839,43.09425991534494,43.37525815885284,24.050660179037937,A,ambiente,normal,protocolo_2
A,29.00971983665267,54.686323628661754,51.69298586012286,19.971918245857605,B,ambiente,normal,protocolo_2
C,57.97386967556115,60.409815732661386,48.58751336333271,26.72608835632285,C,ambiente,normal,protocolo_2
B,43.761965815179934,39.95882012601293,81.26254792591922,27.122972083032977,B,ambiente,normal,protocolo_2
A,40.155844652329264,37.33754003072055,27.54699144270899,24.280368295817105,D,ambiente,normal,protocolo_2
A,34.27974871561108,39.51149536375734,40.901616931109515,30.70850400576573,C,refrigerado,fragil,protocolo_1
B,52.18925264814336,51.66515267060953,55.21454731602927,17.724671033097096,C,ambiente,fragil,protocolo_1
B,40.40836916794511,49.10330324152818,79.31491097045998,33.76827101554872,C,ambiente,normal,protocolo_2
A,31.877204839996192,74.84839550533795,44.214440255505544,21.342566124407583,B,ambiente,normal,protocolo_2
C,57.55167678126048,51.46122803832218,39.65582474720276,18.47369412183837,A,refrigerado,fragil,protocolo_1
C,70.17366652336044,36.330490382496095,43.59903944165293,32.49719672632466,C,ambiente,normal,protocolo_2
C,44.064074336821335,7.36710023984697,27.282876146682717,24.09884237776566,C,ambiente,normal,protocolo_2
B,50.34955672717345,65.79037061920732,53.85353787491731,24.076614047832322,D,ambiente,normal,protocolo_2
A,47.48223303566403,26.800001181852462,44.01687035767547,23.616620305562407,B,ambiente,fragil,protocolo_1
A,44.45493011509681,32.85453697300479,63.02448002878176,30.002542572145934,B,refrigerado,fragil,protocolo_1
C,43.54987246623794,41.12913641513955,65.72052629872948,17.04466231630736,C,refrigerado,fragil,protocolo_1
A,41.22291532586826,32.43197111817831,24.344939784816393,18.776144982828633,C,ambiente,normal,protocolo_2
C,72.71564536860598,18.092712258334203,54.57814480550336,33.77515923544543,A,refrigerado,fragil,protocolo_1
B,70.43760211766724,69.96776553065139,41.91288736323924,31.83235843536858,C,ambiente,normal,protocolo_2
C,75.44433776466576,50.76716317199796,85.40409351582029,22.820012755852403,A,ambiente,normal,protocolo_2
C,34.60831749452517,40.36175822646223,61.926109110468886,20.64319515255715,B,ambiente,fragil,protocolo_1
A,45.63972788813212,64.65462104944892,45.24977013633051,21.16172693140038,A,ambiente,normal,protocolo_2
B,48.08265054397501,64.19386560950501,36.099259980858335,26.159143438171558,B,ambiente,normal,protocolo_2
A,35.15456217223237,72.58990102043417,35.71565640393321,20.43043376287673,A,ambiente,fragil,protocolo_1
A,52.47391195742731,50.91686152402628,59.38974161763659,26.758766945665887,C,ambiente,normal,protocolo_2
B,40.96744191027766,48.68533940592179,70.1378099170249,26.2275173356698,D,refrigerado,fragil,protocolo_1
B,32.20238597759679,47.88778862529404,33.287280627827876,23.449748129094505,A,ambiente,normal,protocolo_2
B,45.78699674574141,44.84184091548073,54.00025752386585,28.76388789101112,B,ambiente,normal,protocolo_2
C,55.27887843404366,42.24682457649399,41.54983171314259,17.067383897139425,B,ambiente,normal,protocolo_2
B,69.39674189838053,68.52041029648991,40.972197836327986,30.496481036864985,A,ambiente,normal,protocolo_2
A,51.65685126272801,21.01883558822867,42.158194181119015,27.470536865431917,D,ambiente,normal,protocolo_2
A,45.6127859377631,62.290622558253546,59.999348826613826,30.78028743963538,C,refrigerado,fragil,protocolo_1
B,57.01313383109991,53.78570853333774,50.8125612398075,22.54292170341891,C,ambiente,normal,protocolo_2
B,44.163396424406386,60.33914473188524,61.594133616640754,20.424391068641665,D,ambiente,fragil,protocolo_1
A,50.27723545026029,51.64231865120712,42.46317862078328,24.005305724570114,D,ambiente,normal,protocolo_2
B,30.687180251827613,31.285653767748173,34.44032327742521,28.565742845806202,B,ambiente,normal,protocolo_2
A,53.72044833352159,44.782406345134795,75.06953960016185,25.88443038809368,B,ambiente,normal,protocolo_2
C,42.339181778455725,41.07338136157806,69.94223181322079,30.00128307545933,D,ambiente,normal,protocolo_2
C,40.157482144186005,33.2541281511769,61.184653888116756,26.367542629330828,A,ambiente,fragil,protocolo_1
B,63.81382361502763,66.51219762781024,38.631337513581215,26.994079228003756,C,ambiente,normal,protocolo_2
B,48.00353415965787,48.251360616196855,56.71488833371791,20.902803365772897,B,ambiente,normal,protocolo_2
C,58.24898490545496,50.68036143833461,53.49892312631664,22.0684767550048,C,ambiente,normal,protocolo_2
B,44.301146299218104,46.308330625501064,73.96328475171,31.260605079948622,B,ambiente,normal,protocolo_2
A,33.74724916685378,42.37702523140397,44.43376906760365,21.244145785685024,C,ambiente,normal,protocolo_2
A,40.668396155599254,58.34864863674862,66.36965329497528,26.490373571574665,A,ambiente,normal,protocolo_2
C,61.65025053240254,24.552724196002522,40.666010360589226,24.064396278447315,A,ambiente,normal,protocolo_2
B,62.80317671414278,54.844808659021574,47.046494055202906,26.067242369300065,C,refrigerado,fragil,protocolo_1
C,39.27789262988724,64.61937113853061,39.810587527263955,23.137455235334954,C,ambiente,normal,protocolo_2
A,53.17855836878851,47.713434486823466,36.125674477432426,23.45207854251687,D,refrigerado,fragil,protocolo_1
A,37.59422981622147,77.55774459707632,45.51936197729665,17.636953516368237,A,ambiente,normal,protocolo_2
A,12.995674148138512,92.77030961847197,45.19507906419144,27.10035237681691,B,ambiente,normal,protocolo_2
A,37.92227271585651,19.22254701988626,28.18981424262696,18.967488717599508,D,ambiente,normal,protocolo_2
C,51.65632146688511,65.60245198498279,43.76752894390311,17.408103172826905,A,ambiente,normal,protocolo_2
A,65.60318605298595,55.59948484517875,57.61311993807681,22.073798238217293,A,ambiente,normal,protocolo_2
A,85.17915841342679,50.223005551255866,39.80016218651705,26.646605734276633,C,ambiente,normal,protocolo_2
A,27.283560552038185,56.18815758189578,48.86277190491813,25.26856093568015,A,refrigerado,fragil,protocolo_1
A,42.98850599155598,65.36935328527235,12.051348465433719,22.40852736727455,D,ambiente,normal,protocolo_2
C,57.08688854833268,45.99270080805577,55.839717924697354,21.100330775390123,C,ambiente,normal,protocolo_2
B,50.44939740281226,50.58377747017708,37.292109048792156,31.692534571742357,C,ambiente,normal,protocolo_2
B,17.691125081373563,24.423207498734524,51.47385426245914,16.015474463788518,B,ambiente,fragil,protocolo_1
A,41.816758621131704,60.47011765793027,63.137329578262936,29.590337683598413,D,ambiente,normal,protocolo_2
C,39.926672323758666,74.4044838481065,56.80260935296697,21.17099141493443,A,ambiente,normal,protocolo_2
A,65.8400922248661,54.10108357901418,35.25850452982376,26.98612895639983,A,ambiente,fragil,protocolo_1
C,67.56674122518874,71.93124507355618,55.04372813205408,24.157561211458805,C,ambiente,normal,protocolo_2
A,82.51309321513884,36.6426339600891,58.33425420105215,20.583609874019885,C,refrigerado,fragil,protocolo_1
C,62.36608489276681,28.745252502014225,65.33861867817883,22.787764811102182,C,ambiente,normal,protocolo_2
C,68.64675880473467,29.007918524416965,41.98666743714621,24.939078628640946,C,ambiente,normal,protocolo_2
B,39.069623388916725,28.041241894475874,37.64222260072558,21.54700168256915,A,ambiente,normal,protocolo_2
B,39.52237374359717,38.90056510028651,58.8340793803487,23.984854309291237,C,ambiente,normal,protocolo_2
B,50.313745636852424,42.94602649222881,64.4945203449582,24.324973971338895,D,ambiente,normal,protocolo_2
C,45.48557251973785,51.50273576468601,45.1305231389418,24.660862330213966,D,refrigerado,fragil,protocolo_1
C,44.547858074619256,42.84419000282276,38.57694630096021,23.679358074626805,A,ambiente,normal,protocolo_2
C,11.056354503112985,55.054404138186335,41.71955842564921,23.51342140917795,A,refrigerado,fragil,protocolo_1
C,63.628253945503516,44.62144040757591,60.714972593143,31.280586154579158,B,ambiente,normal,protocolo_2
A,42.023064369935106,62.97688452039638,53.88285957397995,21.76030201690132,A,refrigerado,fragil,protocolo_1
C,34.76999942254179,49.99640273676411,62.89845604058684,19.34677925710846,A,ambiente,fragil,protocolo_1
C,24.83671425848491,69.43569483801585,72.69675476524763,23.6729732728264,A,ambiente,normal,protocolo_2
C,57.80980015861609,46.9786485593154,44.30220726589094,29.68319699963986,C,ambiente,normal,protocolo_2
C,47.352679495260595,70.73795746190709,48.7269079858852,20.029404391175206,B,ambiente,fragil,protocolo_1
B,29.990044326952816,55.04365034792887,13.59070385632441,21.93294506325468,D,ambiente,normal,protocolo_2
A,56.457041225782355,49.86832844612883,59.765539270113074,23.04714462409398,C,ambiente,normal,protocolo_2
C,45.208583422793,50.45434389084584,57.59071565584314,26.478493050708163,C,ambiente,normal,protocolo_2
A,62.78679906580046,29.890923664485786,83.67415943287615,28.476194863328118,D,refrigerado,fragil,protocolo_1
B,37.050183592384634,71.53781740488617,61.28593152217955,27.390453437481142,D,refrigerado,fragil,protocolo_1
A,32.83688537410899,72.0416925406312,51.699693370875785,30.19061289470139,B,ambiente,normal,protocolo_2
C,56.357124556133066,20.6589163756023,66.04132003193332,25.60276930653737,C,ambiente,fragil,protocolo_1
C,87.11400110033607,61.43214321307306,41.104406720539096,26.287435642783432,A,refrigerado,fragil,protocolo_1
C,49.98408768738831,54.79364466520291,79.13830093599687,23.177303859936433,C,ambiente,normal,protocolo_2
C,38.89017404614191,52.53090085435841,62.683424774266214,25.998385921718842,A,ambiente,normal,protocolo_2
B,47.85716576047848,61.838402379707325,29.003291965630833,23.442986668096836,A,ambiente,normal,protocolo_2
A,73.69086269843724,34.18102816999459,29.38394929809101,24.078733834718467,A,refrigerado,fragil,protocolo_1
A,63.52711975691369,70.37867912340448,29.08402023019357,25.61080070973349,D,ambiente,normal,protocolo_2
A,74.00861165906426,69.30498692161243,44.73534632706431,24.290193060453444,B,refrigerado,fragil,protocolo_1
C,56.41521955428162,44.404432962267634,50.51893863139597,32.36862807863863,D,ambiente,normal,protocolo_2
A,69.7623767381493,49.221772955200706,33.41710219655553,23.25440157678978,D,ambiente,fragil,protocolo_1
C,72.30584591484603,83.33160608871742,56.61951926014241,27.105559835530286,D,refrigerado,fragil,protocolo_1
C,55.31437590750574,37.30513725210352,45.710326987517945,17.00208367905228,D,ambiente,normal,protocolo_2
B,71.32564593834095,51.0204463031932,48.40574959708284,23.79132870919852,A,ambiente,normal,protocolo_2
B,50.21254584617278,25.979880367747928,76.5190536059149,16.739992386802356,A,ambiente,normal,protocolo_2
A,55.91614268754681,65.68856825978018,53.6745805291227,19.194207658302656,D,ambiente,normal,protocolo_2
A,59.464561954732346,37.41209294421297,48.697081309151024,26.641766650791194,B,ambiente,normal,protocolo_2
B,56.34975619630687,28.694731315034687,56.09463316738822,34.653863293710586,C,ambiente,normal,protocolo_2
A,24.295016203098015,74.55364961908242,34.25487175505795,22.630876856250993,D,ambiente,normal,protocolo_2
A,39.59075656155584,67.55208654726451,56.08141453752936,16.222747774386114,D,ambiente,fragil,protocolo_1
C,66.1951731668434,47.58355041830899,33.95136616943168,32.403436904836155,B,refrigerado,fragil,protocolo_1
C,36.69382283913562,59.78068301571433,52.697443070208045,31.189976478481306,A,refrigerado,fragil,protocolo_1
B,39.39412118298555,65.16498863113536,71.61623701726197,23.9071460286183,B,refrigerado,fragil,protocolo_1
A,41.67048555773926,59.05299650119312,38.69906681196931,30.225902414958668,A,ambiente,normal,protocolo_2
B,66.9347863771497,45.80788364315523,49.69689176538766,22.06706551994381,C,ambiente,fragil,protocolo_1
A,47.508261825297986,43.71824690809255,40.86382654953531,33.59675682228283,A,ambiente,normal,protocolo_2
C,61.16881143230986,51.65071122350133,29.36130241842104,26.356753408858214,B,ambiente,normal,protocolo_2
C,40.7532347832872,44.93315762883563,57.34290247563477,22.37697207265447,D,ambiente,normal,protocolo_2
A,59.76360557644689,68.45499842552707,38.32791935890928,32.13757224273194,D,ambiente,normal,protocolo_2
B,61.41758790844409,63.29174880121087,50.47424482261746,13.140836338058167,B,ambiente,normal,protocolo_2
A,36.3433309150352,35.06635298453701,38.67114193662893,23.833657650080486,A,ambiente,fragil,protocolo_1
A,45.87101724029441,45.70640809184417,61.23996614508097,36.67096805694276,A,ambiente,normal,protocolo_2
B,16.81482217035539,53.129444680707614,56.92115342071632,27.990686462716724,C,ambiente,normal,protocolo_2
C,73.9110073275892,44.4444292158152,37.624100892312335,27.391186524467322,D,ambiente,fragil,protocolo_1
C,68.01806503721187,59.270505380904055,15.048570823153263,23.670195465969275,C,ambiente,normal,protocolo_2
A,50.70453344897272,56.64290217517573,38.6199291100734,30.06567717328188,D,ambiente,fragil,protocolo_1
B,41.905024484790985,65.96981301004652,44.538109142829995,32.914157207461884,B,refrigerado,fragil,protocolo_1
A,61.911248878949806,30.523672694179727,37.26351033691664,14.836900716548477,B,ambiente,normal,protocolo_2
B,38.034759345949894,47.50001444505488,61.404671450375545,23.891539105670937,A,ambiente,normal,protocolo_2
B,57.021580262324434,60.53613890404091,42.19975475492038,21.24789066100455,B,ambiente,normal,protocolo_2
C,59.82030787093221,47.802512049076725,41.18025186195554,24.64492468598053,A,refrigerado,fragil,protocolo_1
B,62.51934261732498,57.09769806144503,40.00832951566085,26.319984539711864,B,ambiente,normal,protocolo_2
B,37.21675102454481,63.64839758136355,32.18027811062827,27.496246703400637,C,ambiente,normal,protocolo_2
C,51.48210417732614,42.13527192554582,42.49575593987334,23.362590243688366,A,ambiente,normal,protocolo_2
B,63.494794942795394,32.27115096075137,57.40304554504598,28.840960000161747,B,ambiente,normal,protocolo_2
A,49.91417671093926,63.4516738420198,65.77464163742519,30.197201588414615,B,ambiente,normal,protocolo_2
A,33.46979973051396,56.11746546083086,56.88249623382043,25.681710433745508,A,ambiente,normal,protocolo_2
C,48.16240245765415,74.05769419707727,34.639659260241,26.24285245835288,A,ambiente,normal,protocolo_2
B,64.85917396265216,43.79166915366174,37.958739550969405,28.061739834893416,C,ambiente,normal,protocolo_2
C,47.35025408600123,73.2348504898464,66.73138953861859,27.35014611454149,D,ambiente,normal,protocolo_2
B,54.58600667512807,30.707102901926852,42.70983076174271,28.88191278163957,C,ambiente,normal,protocolo_2
A,34.75587146406204,59.41298000120038,28.442671452957942,27.835397789866583,D,ambiente,normal,protocolo_2
B,68.98948164185293,76.07180843563812,45.01450718072259,23.119169927546217,A,refrigerado,fragil,protocolo_1
B,45.07582480977641,38.73527834495272,33.986664163086175,26.668307167970358,B,ambiente,normal,protocolo_2
A,40.14070082336749,24.04457509361144,30.43312210974988,29.895507221844948,C,refrigerado,fragil,protocolo_1
B,72.58223887371382,67.71300601122542,50.09753019656762,28.759525394921432,A,ambiente,normal,protocolo_2
A,61.257638517073914,43.29774978939979,66.85822290302181,25.88619858624178,A,ambiente,normal,protocolo_2
A,55.53510487747544,48.70284446974535,61.75626901860949,19.197069856184072,D,ambiente,normal,protocolo_2
A,41.26465383482113,66.42169732808658,27.02567816413407,18.542941500586444,D,ambiente,normal,protocolo_2
B,51.885745991094346,46.638099391626845,53.93454589320562,29.529697796001805,C,refrigerado,fragil,protocolo_1
B,54.0526116026167,58.83937016602978,56.21657476587643,28.5769109510754,D,ambiente,normal,protocolo_2
C,38.7950738656573,41.510682949683805,65.63568311099449,24.05342667045384,A,ambiente,normal,protocolo_2
B,31.818113965669113,34.20115388137191,66.57985253948459,22.074477529690736,B,refrigerado,fragil,protocolo_1
B,43.778631961376036,77.45028747818836,59.751502283130634,32.775174249049506,C,ambiente,normal,protocolo_2
C,46.98688933410616,39.17827161852172,66.3054261245783,25.713276232993664,B,ambiente,normal,protocolo_2
B,94.04843633823607,47.14327927123565,58.805906858074245,13.226727545526007,A,ambiente,normal,protocolo_2
C,34.210284559661744,18.169011351613026,43.925836028828435,23.440652562400945,D,ambiente,normal,protocolo_2
A,34.63563090209643,41.03319527937023,52.87723419158706,22.097495480255102,B,ambiente,fragil,protocolo_1
A,38.135641814854964,89.4814525993126,44.9250686488571,22.492647655857144,B,ambiente,normal,protocolo_2
A,54.669197524003515,32.52525217129684,53.81233240947244,20.122623781666704,A,ambiente,fragil,protocolo_1
B,50.280118133459766,40.03207673754003,38.768137800728006,28.928672202882964,B,ambiente,normal,protocolo_2
B,63.125668911991845,34.0783037899985,26.449325810518587,20.944460281474704,B,ambiente,normal,protocolo_2
C,58.9350451685752,46.04072613421297,53.40836211494088,33.37560614221128,A,ambiente,normal,protocolo_2
C,17.39369793333387,41.12967186204048,57.517769695060835,18.101489959776686,C,ambiente,normal,protocolo_2
B,65.57466540375323,38.94319490137855,32.56335489305065,27.715667696495466,D,ambiente,normal,protocolo_2
A,42.6948714151427,42.25361892820694,55.37904089124535,22.986377497279953,B,refrigerado,fragil,protocolo_1
A,43.74393831185947,51.916684129433975,51.455603767400206,33.00320809676555,A,refrigerado,fragil,protocolo_1
C,48.37063928153722,71.61404344827943,30.88091014288696,30.95322475825033,B,refrigerado,fragil,protocolo_1
C,66.3912882174985,61.12718551848451,22.905284553580604,29.58547702382273,A,ambiente,normal,protocolo_2
A,37.5996990154194,55.47406997086572,49.00516143349592,33.635475260135514,B,ambiente,normal,protocolo_2
C,35.08323223754516,50.99256005915439,35.32016420201907,29.098988358423746,B,ambiente,fragil,protocolo_1
C,44.87865522647099,42.53693116786351,39.540379057356986,20.58516686184676,A,ambiente,normal,protocolo_2
C,57.564810875249485,48.600096250103,52.704916996811626,34.14113331963382,A,ambiente,normal,protocolo_2
A,82.66760949549882,52.314940106545784,26.53685955517493,26.782448237202836,A,ambiente,normal,protocolo_2
A,42.55604693149022,70.71587289075846,61.31106258223902,27.192719325027497,D,refrigerado,fragil,protocolo_1
C,61.20416742855912,69.03483021239063,56.90628953161066,26.794483483837027,D,ambiente,normal,protocolo_2
A,51.342017162860344,67.58040794965015,31.86992675956227,29.204490968713323,C,ambiente,normal,protocolo_2
B,50.714111772362344,41.86808344535301,42.24482252321765,33.5918675760711,C,refrigerado,fragil,protocolo_1
C,48.53386723798486,50.433280639169,58.94763071060402,22.48528409376277,C,ambiente,normal,protocolo_2
B,53.278571002473846,56.11486154513046,75.4456004761526,27.120202219093677,D,ambiente,fragil,protocolo_1
B,67.60235153443223,48.5042904124179,39.85660227654776,29.14441053263732,A,ambiente,normal,protocolo_2
A,67.85489594497103,68.17713331242742,37.38241086294155,21.469711517843567,D,refrigerado,fragil,protocolo_1
B,63.98719141579197,89.42933101400095,58.5564560936258,24.66311425898765,A,refrigerado,fragil,protocolo_1
B,49.20197857542631,52.04964204254882,38.38615659820921,23.20049727731642,D,refrigerado,fragil,protocolo_1
B,36.63695973607313,68.92664242938629,57.96321378026529,19.0124472626662,D,ambiente,normal,protocolo_2
A,32.8254138184148,50.688901156652506,78.84192916742744,30.363441613386932,C,ambiente,normal,protocolo_2
B,32.32419178249151,60.971405377774396,41.656027509412255,28.804943580375387,A,refrigerado,fragil,protocolo_1
C,52.517065347162756,52.13220668332397,28.74383107288514,21.689138710765356,A,ambiente,normal,protocolo_2
A,62.36979128233105,52.14753136995773,66.66009098361414,20.468988513347302,B,refrigerado,fragil,protocolo_1
A,68.38987771799991,49.99653754157884,54.13027226777529,27.13332141558084,D,ambiente,normal,protocolo_2
C,25.144396408677203,33.23588985947798,58.51884692776864,28.8936041217779,C,refrigerado,fragil,protocolo_1
A,47.85324532493639,62.830950538577554,56.93256635187225,26.096366080713107,B,ambiente,fragil,protocolo_1
A,49.51993555960777,45.614006604805425,63.89320584331375,25.56116689431329,B,ambiente,normal,protocolo_2
C,23.81947205588831,81.61272740806982,52.71063874385092,28.742449808790525,D,refrigerado,fragil,protocolo_1
A,76.68264297254977,52.13824155649725,61.685038119896475,33.3010985079799,D,ambiente,normal,protocolo_2
C,50.44119500685175,56.31882227935972,28.196791973675907,17.730719070220783,A,ambiente,normal,protocolo_2
B,53.82991580869434,46.957937278553736,33.29337856773335,29.13126800263561,A,ambiente,fragil,protocolo_1
A,32.10530186430933,32.113020757225435,81.05362304708406,37.381725121440454,D,ambiente,normal,protocolo_2
B,57.716641599221205,48.664457095545224,33.57957064090169,22.59918453257917,C,ambiente,normal,protocolo_2
A,50.13100395140674,61.168099993355945,47.280656109085335,23.612656848427104,D,ambiente,normal,protocolo_2
C,45.60223249578933,55.794904463882276,21.756798653919684,26.738702939146048,A,ambiente,fragil,protocolo_1
A,23.939703356539205,70.6976716856461,85.34736843017674,27.425565536029872,C,ambiente,normal,protocolo_2
A,55.45024342403817,72.01593843775984,48.3895025910096,21.336814864222475,A,ambiente,normal,protocolo_2
C,59.92404166717378,75.48905295285884,41.02338247040208,22.341682496878597,C,ambiente,normal,protocolo_2
C,24.856528259077432,56.874418734840376,46.78988423408052,30.91300833185608,D,ambiente,normal,protocolo_2
C,29.47517615071171,59.589029129167464,41.997904496201656,21.93692584782129,B,ambiente,fragil,protocolo_1
C,51.79531979840903,65.25296088569112,76.18953169825852,24.05591725804178,B,ambiente,normal,protocolo_2
C,52.078158285547126,30.90211009620456,37.38664543243692,28.251169825355383,C,ambiente,normal,protocolo_2
